================ Training Loss (Thu May 14 22:09:10 2026) ================
[Rank 0] (epoch: 2, iters: 7172, time: 0.024, data: 0.002) , G_GAN: 1.412, G_L1: 12.843, D_real: 0.519, D_fake: 1.558

[Rank 0] (epoch: 2, iters: 7672, time: 0.024, data: 0.002) , G_GAN: 1.857, G_L1: 24.060, D_real: 0.231, D_fake: 0.109

[Rank 0] (epoch: 2, iters: 8172, time: 0.027, data: 0.003) , G_GAN: 1.074, G_L1: 36.673, D_real: 0.032, D_fake: 1.677

[Rank 0] (epoch: 2, iters: 8672, time: 0.024, data: 0.002) , G_GAN: 1.452, G_L1: 19.385, D_real: 1.230, D_fake: 0.080

[Rank 0] (epoch: 2, iters: 9172, time: 0.024, data: 0.002) , G_GAN: 0.981, G_L1: 26.869, D_real: 0.179, D_fake: 0.971

[Rank 0] (epoch: 2, iters: 9672, time: 0.024, data: 0.002) , G_GAN: 1.729, G_L1: 22.285, D_real: 0.566, D_fake: 0.119

[Rank 0] (epoch: 2, iters: 10172, time: 0.027, data: 0.002) , G_GAN: 2.263, G_L1: 19.435, D_real: 0.131, D_fake: 0.229

[Rank 0] (epoch: 2, iters: 10672, time: 0.024, data: 0.002) , G_GAN: 1.880, G_L1: 42.916, D_real: 0.055, D_fake: 0.455

[Rank 0] (epoch: 2, iters: 11172, time: 0.024, data: 0.002) , G_GAN: 1.693, G_L1: 19.778, D_real: 0.980, D_fake: 0.081

[Rank 0] (epoch: 2, iters: 11672, time: 0.024, data: 0.002) , G_GAN: 1.285, G_L1: 18.921, D_real: 0.152, D_fake: 0.785

[Rank 0] (epoch: 2, iters: 12172, time: 0.027, data: 0.002) , G_GAN: 1.259, G_L1: 24.604, D_real: 0.169, D_fake: 1.032

[Rank 0] (epoch: 2, iters: 12672, time: 0.024, data: 0.002) , G_GAN: 2.327, G_L1: 26.275, D_real: 0.034, D_fake: 0.289

[Rank 0] (epoch: 2, iters: 13172, time: 0.024, data: 0.002) , G_GAN: 1.539, G_L1: 19.977, D_real: 0.130, D_fake: 0.267

[Rank 0] (epoch: 2, iters: 13672, time: 0.024, data: 0.002) , G_GAN: 1.738, G_L1: 20.443, D_real: 0.457, D_fake: 0.326

[Rank 0] (epoch: 2, iters: 14172, time: 0.027, data: 0.002) , G_GAN: 1.467, G_L1: 15.064, D_real: 0.147, D_fake: 0.547

[Rank 0] (epoch: 2, iters: 14672, time: 0.024, data: 0.002) , G_GAN: 2.491, G_L1: 25.900, D_real: 1.755, D_fake: 0.059

[Rank 0] (epoch: 2, iters: 15172, time: 0.024, data: 0.002) , G_GAN: 1.506, G_L1: 19.248, D_real: 0.116, D_fake: 0.370

[Rank 0] (epoch: 2, iters: 15672, time: 0.025, data: 0.002) , G_GAN: 1.085, G_L1: 15.161, D_real: 0.373, D_fake: 0.583

[Rank 0] (epoch: 2, iters: 16172, time: 0.027, data: 0.002) , G_GAN: 1.626, G_L1: 21.881, D_real: 1.690, D_fake: 0.091

[Rank 0] (epoch: 2, iters: 16672, time: 0.024, data: 0.002) , G_GAN: 2.554, G_L1: 20.231, D_real: 0.056, D_fake: 0.121

[Rank 0] (epoch: 2, iters: 17172, time: 0.023, data: 0.002) , G_GAN: 2.217, G_L1: 19.676, D_real: 0.097, D_fake: 0.150

[Rank 0] (epoch: 2, iters: 17672, time: 0.023, data: 0.002) , G_GAN: 1.750, G_L1: 15.243, D_real: 0.022, D_fake: 0.587

[Rank 0] (epoch: 2, iters: 18172, time: 0.026, data: 0.002) , G_GAN: 0.785, G_L1: 19.168, D_real: 0.689, D_fake: 0.570

[Rank 0] (epoch: 2, iters: 18672, time: 0.024, data: 0.002) , G_GAN: 2.468, G_L1: 15.395, D_real: 0.271, D_fake: 0.127

[Rank 0] (epoch: 2, iters: 19172, time: 0.025, data: 0.002) , G_GAN: 1.676, G_L1: 21.344, D_real: 0.059, D_fake: 0.753

[Rank 0] (epoch: 2, iters: 19672, time: 0.025, data: 0.002) , G_GAN: 1.684, G_L1: 20.771, D_real: 0.081, D_fake: 0.277

[Rank 0] (epoch: 2, iters: 20172, time: 0.027, data: 0.002) , G_GAN: 0.937, G_L1: 11.070, D_real: 1.579, D_fake: 0.286

[Rank 0] (epoch: 2, iters: 20672, time: 0.024, data: 0.002) , G_GAN: 0.930, G_L1: 19.697, D_real: 0.065, D_fake: 0.803

[Rank 0] (epoch: 2, iters: 21172, time: 0.024, data: 0.002) , G_GAN: 1.190, G_L1: 26.922, D_real: 0.171, D_fake: 0.567

[Rank 0] (epoch: 2, iters: 21672, time: 0.024, data: 0.002) , G_GAN: 1.124, G_L1: 17.196, D_real: 1.234, D_fake: 0.137

[Rank 0] (epoch: 2, iters: 22172, time: 0.027, data: 0.002) , G_GAN: 1.159, G_L1: 11.698, D_real: 0.582, D_fake: 0.957

[Rank 0] (epoch: 2, iters: 22672, time: 0.023, data: 0.002) , G_GAN: 1.174, G_L1: 22.985, D_real: 0.040, D_fake: 0.412

[Rank 0] (epoch: 2, iters: 23172, time: 0.024, data: 0.002) , G_GAN: 2.111, G_L1: 17.146, D_real: 0.178, D_fake: 0.202

[Rank 0] (epoch: 2, iters: 23672, time: 0.023, data: 0.002) , G_GAN: 2.015, G_L1: 14.665, D_real: 0.154, D_fake: 0.232

[Rank 0] (epoch: 2, iters: 24172, time: 0.026, data: 0.002) , G_GAN: 2.132, G_L1: 25.084, D_real: 0.005, D_fake: 0.514

[Rank 0] (epoch: 2, iters: 24672, time: 0.024, data: 0.002) , G_GAN: 1.605, G_L1: 16.087, D_real: 1.977, D_fake: 0.139

[Rank 0] (epoch: 2, iters: 25172, time: 0.023, data: 0.002) , G_GAN: 1.024, G_L1: 12.163, D_real: 1.526, D_fake: 0.106

[Rank 0] (epoch: 2, iters: 25672, time: 0.024, data: 0.002) , G_GAN: 1.431, G_L1: 25.843, D_real: 0.218, D_fake: 0.602

[Rank 0] (epoch: 2, iters: 26172, time: 0.027, data: 0.002) , G_GAN: 1.673, G_L1: 27.445, D_real: 0.475, D_fake: 0.336

[Rank 0] (epoch: 2, iters: 26672, time: 0.023, data: 0.002) , G_GAN: 1.101, G_L1: 15.196, D_real: 0.304, D_fake: 0.693

[Rank 0] (epoch: 2, iters: 27172, time: 0.024, data: 0.002) , G_GAN: 1.651, G_L1: 11.306, D_real: 0.254, D_fake: 0.473

[Rank 0] (epoch: 2, iters: 27672, time: 0.024, data: 0.002) , G_GAN: 1.524, G_L1: 22.828, D_real: 0.134, D_fake: 0.459

[Rank 0] (epoch: 2, iters: 28172, time: 0.026, data: 0.002) , G_GAN: 2.213, G_L1: 24.098, D_real: 0.061, D_fake: 0.469

[Rank 0] (epoch: 2, iters: 28672, time: 0.024, data: 0.002) , G_GAN: 1.845, G_L1: 18.469, D_real: 0.004, D_fake: 0.658

[Rank 0] (epoch: 2, iters: 29172, time: 0.024, data: 0.002) , G_GAN: 1.655, G_L1: 17.976, D_real: 0.011, D_fake: 1.024

[Rank 0] (epoch: 2, iters: 29672, time: 0.023, data: 0.002) , G_GAN: 2.614, G_L1: 16.073, D_real: 1.088, D_fake: 0.042

[Rank 0] (epoch: 2, iters: 30172, time: 0.027, data: 0.002) , G_GAN: 1.182, G_L1: 12.481, D_real: 0.533, D_fake: 0.309

[Rank 0] (epoch: 2, iters: 30672, time: 0.024, data: 0.002) , G_GAN: 1.423, G_L1: 23.002, D_real: 0.228, D_fake: 0.260

[Rank 0] (epoch: 2, iters: 31172, time: 0.024, data: 0.002) , G_GAN: 2.060, G_L1: 15.451, D_real: 0.084, D_fake: 0.627

[Rank 0] (epoch: 2, iters: 31672, time: 0.024, data: 0.002) , G_GAN: 1.894, G_L1: 30.518, D_real: 1.241, D_fake: 0.125

[Rank 0] (epoch: 2, iters: 32172, time: 0.026, data: 0.002) , G_GAN: 1.922, G_L1: 16.058, D_real: 0.422, D_fake: 0.360

[Rank 0] (epoch: 2, iters: 32672, time: 0.024, data: 0.002) , G_GAN: 1.591, G_L1: 18.537, D_real: 0.193, D_fake: 0.341

[Rank 0] (epoch: 2, iters: 33172, time: 0.023, data: 0.002) , G_GAN: 1.283, G_L1: 10.868, D_real: 0.335, D_fake: 0.571

[Rank 0] (epoch: 2, iters: 33672, time: 0.023, data: 0.002) , G_GAN: 1.455, G_L1: 21.500, D_real: 0.028, D_fake: 0.475

[Rank 0] (epoch: 2, iters: 34172, time: 0.026, data: 0.002) , G_GAN: 1.280, G_L1: 13.695, D_real: 0.675, D_fake: 0.241

[Rank 0] (epoch: 2, iters: 34672, time: 0.025, data: 0.002) , G_GAN: 1.710, G_L1: 28.818, D_real: 0.302, D_fake: 1.480

[Rank 0] (epoch: 2, iters: 35172, time: 0.024, data: 0.002) , G_GAN: 1.647, G_L1: 17.848, D_real: 0.854, D_fake: 0.157

[Rank 0] (epoch: 2, iters: 35672, time: 0.024, data: 0.002) , G_GAN: 1.023, G_L1: 16.158, D_real: 0.360, D_fake: 0.973

[Rank 0] (epoch: 2, iters: 36172, time: 0.026, data: 0.002) , G_GAN: 1.028, G_L1: 13.977, D_real: 0.529, D_fake: 0.733

[Rank 0] (epoch: 2, iters: 36672, time: 0.023, data: 0.002) , G_GAN: 1.564, G_L1: 26.520, D_real: 0.303, D_fake: 1.317

[Rank 0] (epoch: 2, iters: 37172, time: 0.024, data: 0.002) , G_GAN: 1.699, G_L1: 16.637, D_real: 0.035, D_fake: 1.072

[Rank 0] (epoch: 2, iters: 37672, time: 0.024, data: 0.002) , G_GAN: 2.690, G_L1: 22.293, D_real: 0.003, D_fake: 0.130

[Rank 0] (epoch: 2, iters: 38172, time: 0.027, data: 0.002) , G_GAN: 1.043, G_L1: 22.559, D_real: 0.030, D_fake: 0.756

[Rank 0] (epoch: 2, iters: 38672, time: 0.024, data: 0.002) , G_GAN: 2.036, G_L1: 19.182, D_real: 1.724, D_fake: 0.094

[Rank 0] (epoch: 2, iters: 39172, time: 0.024, data: 0.002) , G_GAN: 2.457, G_L1: 17.647, D_real: 0.374, D_fake: 0.105

